,exam_score
74720,97
56650,71
8057,100
33463,100
36604,100
2488,83
61575,69
25690,99
45790,90
4724,100
16098,99
30964,94
78906,96
4791,100
308,93
56431,77
59420,91
21939,98
63913,96
31468,91
74420,82
5292,81
75472,78
45697,98
45191,99
22863,98
876,96
70585,95
59460,80
75414,67
48791,97
63502,91
22044,80
46034,85
4640,76
65553,79
27238,100
7923,95
63270,90
49224,100
14102,85
68819,95
48667,100
16140,100
62277,82
30438,93
59677,86
42934,100
75733,79
13539,100
44043,80
79341,100
60146,100
15331,77
57323,70
40289,96
59516,61
48391,97
5620,85
78859,97
51646,93
19884,100
18559,99
41600,98
56926,99
56733,81
25211,96
33324,93
18681,97
45382,91
35801,88
25928,91
9027,96
37779,97
73233,94
22841,100
16459,100
59914,92
51357,100
77646,94
41691,100
3084,83
7164,72
74640,100
71836,73
33617,100
17840,60
1143,47
43581,86
51541,97
73931,100
45607,76
23584,93
7147,100
41494,89
49279,96
47656,100
64101,99
22717,76
73696,96
66120,76
5227,87
8029,100
34829,100
50769,74
59538,100
75084,100
56743,85
47042,74
34094,100
20203,82
32199,94
19343,82
47209,92
5470,97
55641,71
57538,97
46379,100
60917,69
11421,92
52706,100
28873,83
8518,91
3373,78
36728,79
37469,79
36625,100
39226,93
19475,100
25499,95
27649,86
39680,97
56786,80
40614,100
21706,93
77150,100
60797,76
9185,100
63170,91
49575,88
5857,89
49873,78
38196,82
45958,97
36770,63
7090,83
77472,69
45418,87
55933,82
12913,87
56158,100
42954,92
5315,76
51364,85
77810,97
51603,97
36644,76
71423,93
7617,100
21133,98
72073,97
38231,100
26544,94
69195,100
19264,80
71990,91
2087,60
45443,83
77893,94
3862,88
50868,100
4360,93
54262,99
73047,83
37007,100
36435,78
45624,100
49757,55
36477,77
5009,83
54783,75
69353,85
37760,97
43998,95
47510,86
30486,90
37384,70
71083,80
12734,84
2155,94
22969,78
74102,91
75405,95
49138,79
74896,98
45477,82
21565,100
22291,90
78445,95
62717,80
67459,96
17181,100
29865,96
11663,66
25664,59
71893,100
37707,100
1541,100
75606,92
66626,88
47316,66
48080,96
59643,94
12191,93
49174,66
11058,100
52851,100
56210,100
61119,67
69998,98
26840,100
1224,100
47071,77
12416,93
40054,96
41334,95
39244,100
66821,82
2942,80
5007,95
41130,87
64391,67
78486,87
61364,94
70683,90
24480,100
46627,72
21556,100
67779,100
23362,100
59920,76
72858,100
72098,100
3786,100
3876,100
65621,100
52926,89
70067,97
36386,90
50206,82
3812,99
75561,97
2482,93
79955,95
60709,95
66804,69
45934,80
11059,92
22738,63
60701,99
30689,95
13701,80
39183,100
57127,88
24498,93
56846,85
65456,100
66317,79
37705,80
5719,100
17734,77
71308,80
22253,75
10627,95
46826,81
20046,97
4881,100
47607,97
52044,100
73304,100
9108,78
41489,100
52175,99
57096,97
39069,99
8311,99
75464,73
74875,72
20307,100
42298,79
55919,69
10874,98
35991,77
33425,92
38081,100
28698,100
33351,100
23229,90
42299,86
78874,92
65028,95
6821,85
35101,79
20165,67
64063,93
8912,95
17793,90
64056,83
16776,100
54750,100
49019,98
77724,96
64189,91
842,75
70323,73
41051,66
77876,90
56707,96
66930,91
74487,100
23237,78
31667,49
14507,86
64753,100
15060,100
28783,100
75447,78
22759,82
15752,83
10742,99
41615,99
68460,93
46746,100
36188,64
79702,95
52513,96
62509,60
15697,75
47978,100
75440,95
44875,93
60499,66
1621,100
13050,100
40952,100
50055,100
1614,89
32628,90
1691,95
41603,95
24253,81
30247,79
21703,79
32145,76
50613,96
5120,75
25984,71
32285,81
42716,100
58625,90
47873,100
30616,78
2201,64
47273,97
56014,91
51742,94
1957,69
57869,87
16570,96
61599,100
17671,100
15973,72
48837,100
36225,98
10470,100
405,93
63260,100
14908,84
35696,68
23975,70
71341,85
49651,80
30711,89
47378,99
11182,96
28731,100
54496,61
52635,96
11122,95
5561,80
31866,94
10455,84
42180,71
31470,95
15702,92
13835,100
61887,86
14055,76
12676,100
32619,100
24031,100
13087,98
35795,96
50153,67
4237,78
51495,61
25588,69
5562,88
16055,93
70931,100
33610,79
78697,100
62161,88
12008,71
63768,80
67557,100
12130,84
58485,74
22823,68
55998,84
30223,95
19515,98
62071,95
48188,98
32634,81
69704,96
17437,84
26424,91
2154,100
60922,79
42008,70
44265,82
79452,100
29006,99
33972,75
58404,78
22089,66
13886,77
40179,100
24434,94
7946,98
63784,100
37135,96
45772,100
8605,67
41784,71
63417,100
78417,100
5135,79
34587,73
16746,100
35461,94
46868,100
58612,64
12170,100
73575,93
51342,100
31428,97
44270,95
60583,95
9472,99
43992,67
21445,89
73196,91
34483,65
9211,91
5526,95
24050,100
63666,80
35271,89
30943,88
36079,98
24643,93
61633,63
7235,100
58010,93
53442,87
49326,100
69660,92
72065,96
18659,86
37272,100
1713,100
34879,100
70946,78
530,99
37299,100
20371,100
48229,91
67810,80
47217,70
9638,95
27811,91
78505,92
57711,97
64789,70
75172,100
25266,85
42860,92
35760,100
59122,100
8101,95
25425,73
17393,78
18308,99
53672,74
29916,100
27004,95
62778,100
45963,62
77822,92
64342,100
11047,86
67191,89
14518,100
77298,100
34091,99
64109,73
77126,100
76984,86
77807,99
11039,80
26953,97
59904,76
76986,96
26810,94
11165,100
74497,87
9003,69
68652,88
5393,97
35187,100
62267,100
45412,85
4693,100
68135,98
65921,83
24807,98
40300,100
65953,100
24278,88
42746,68
65598,100
45880,80
19722,86
46483,67
13390,70
36087,98
27440,97
13632,100
20840,92
69916,97
3955,97
2039,66
63162,99
28529,97
27304,66
79166,92
70444,78
64537,90
65080,61
23538,92
4900,92
67792,96
71188,82
56792,84
48083,92
46241,100
17608,100
12493,84
10154,80
70927,77
76215,100
1762,89
50197,87
32179,99
53587,88
67523,90
38,100
12831,97
8338,83
34477,92
41767,100
41748,100
52629,97
32694,79
46357,97
76918,89
29764,83
8213,82
24195,74
11861,100
21248,73
68105,82
44321,86
40565,96
59226,64
27844,100
20309,80
49239,81
35918,85
32352,100
12664,94
47344,99
38299,100
7604,76
65065,78
48590,94
23402,94
51180,98
3471,100
20815,76
17254,94
7300,63
48166,84
15704,92
19126,100
34338,67
51717,98
43462,75
7618,97
14146,70
46448,85
5845,75
4752,96
15222,94
64204,93
66275,100
78635,73
8809,83
33786,76
16490,84
13898,100
66363,85
78759,84
65753,96
74761,100
73140,94
83,96
41490,100
49977,85
44528,88
40144,86
34785,100
2250,95
22203,99
38258,100
44786,100
7703,100
67789,85
2722,85
35250,89
7428,100
32571,79
33092,94
37281,91
11706,90
40610,92
5613,86
45165,100
66164,98
32299,98
59005,99
41882,96
9433,98
54627,100
13855,96
35280,85
28628,85
32492,87
73509,100
48402,100
74155,76
29603,89
45935,90
77961,88
51298,55
49506,65
27590,79
76924,99
38162,100
20143,89
9137,78
17175,100
7085,62
15913,76
74858,100
59235,94
35774,90
26768,96
34093,75
4560,81
19216,87
16729,87
45037,76
9131,94
77526,59
38627,92
21752,90
42974,100
25814,100
33406,80
6867,100
43301,100
37514,85
71017,93
50614,88
45962,87
76447,99
8339,73
69761,99
22480,85
48628,100
60865,100
74859,100
67481,100
17415,100
4033,100
18665,99
40743,94
39135,94
53953,52
45687,64
33196,89
26201,75
69845,92
52680,100
4681,96
39708,99
47,100
9184,77
7635,76
25272,79
59405,95
29144,79
12966,75
33754,90
77638,90
40360,88
37289,100
33475,98
43507,100
13228,95
63668,100
50320,100
6602,87
14674,93
18334,74
48556,100
68820,91
56906,100
77481,87
18159,95
13911,94
10556,59
56278,83
21182,93
23040,89
13914,100
68508,98
39269,100
59433,77
51415,94
5859,80
24727,87
56139,93
25592,100
38769,100
33670,71
6945,89
33846,71
1577,99
58633,100
23014,99
48586,99
29516,77
32640,96
762,93
66271,100
4011,85
2300,84
40073,100
25010,97
60234,93
48881,100
23473,100
50734,100
17705,100
65896,81
24600,100
40227,93
49794,69
35266,100
40752,85
11698,60
36744,100
10964,100
45683,96
39116,100
60600,67
38723,85
32258,100
5677,100
69281,100
8321,97
57906,66
54204,72
28109,100
55587,100
10968,98
52549,95
45533,100
23636,99
78411,100
16905,99
57515,89
11085,100
22319,73
56510,100
520,100
25200,73
24660,100
26558,100
25244,100
10363,100
23083,100
63075,96
73827,100
60402,60
36475,98
39214,100
29687,88
68447,85
62606,100
31073,100
57287,79
22271,82
47469,100
9463,90
19468,91
49050,78
34910,82
3141,100
8909,100
1515,97
63570,89
12317,89
77285,85
8553,56
17878,99
47883,86
40165,97
69783,91
1630,90
64519,83
51987,75
41408,70
57638,100
23075,98
63964,71
20651,83
72543,97
72343,96
78681,100
68656,100
12795,97
44855,80
16241,88
46947,89
61003,96
34797,98
8349,94
66554,78
64874,100
42292,91
18788,100
45374,69
30338,100
44472,97
56582,95
22286,97
18652,82
24681,79
46157,100
1015,86
55866,85
47732,100
29262,76
67479,91
38118,100
25554,94
31827,84
4749,100
3007,100
19717,100
6414,100
56181,79
7129,95
31230,98
21441,80
63850,100
67842,100
19753,76
26078,92
18690,100
18828,100
59929,100
79969,91
34441,97
44578,69
75326,87
1223,78
21335,100
49670,68
51045,88
37822,100
31355,53
55737,100
13177,98
63892,99
45972,100
54607,100
44900,80
13506,100
20084,100
17748,70
42425,96
53055,91
67895,64
65399,100
60031,83
22367,100
34895,64
35577,100
53186,100
9925,96
17864,66
45084,84
14352,93
22787,62
20449,69
5650,95
39988,96
44975,73
75842,64
78060,99
24881,95
78357,100
18068,96
3698,100
67124,90
72312,100
44349,91
78282,67
66395,74
46179,86
43247,97
58349,87
22315,84
13634,89
69830,97
40914,90
78933,94
29185,99
40779,59
2938,91
66404,100
35730,91
78991,86
54033,96
36823,85
9730,74
39997,98
48875,96
15053,100
11688,100
77250,82
12618,80
43966,95
6882,88
10462,97
38564,100
1629,71
4344,99
12121,100
65030,92
31387,66
70910,70
4378,96
59018,98
11131,97
1325,88
74719,98
22997,95
69215,98
10227,86
54398,99
53299,79
77204,100
10726,69
63183,93
137,68
73664,97
62532,92
49947,97
74682,82
78264,98
35889,100
60658,95
25083,84
23452,97
3260,100
64487,100
64046,99
1209,95
58997,100
27731,100
8257,69
45490,85
36898,77
39231,90
78158,81
22789,95
6531,91
12445,83
52587,56
23102,99
11227,81
5919,100
54007,97
41574,100
39783,86
75162,87
36474,93
26447,100
48273,100
61174,79
10994,65
78772,92
10425,100
54901,98
36203,96
41322,72
74797,99
15103,67
68177,78
15187,87
591,98
63786,80
70831,74
9644,90
550,75
70678,92
2896,97
67940,61
53632,99
64530,72
61560,100
57870,100
61327,100
9305,100
17106,87
50727,100
32250,85
33021,93
38472,85
64670,56
7111,69
43644,79
23815,99
49280,95
26555,100
5663,95
31097,95
77207,96
44477,99
62770,55
40558,100
70999,99
27671,85
36092,92
77799,78
10729,75
48528,53
65047,88
31110,83
24449,96
55311,98
40934,89
7292,82
8974,87
49931,100
8483,77
5464,72
7343,63
66460,85
48217,64
56271,95
46329,100
15636,75
16308,98
33255,58
22362,90
5088,86
47644,100
56463,100
39024,100
70692,100
67922,100
37249,100
50717,78
51089,96
3514,56
17008,68
44367,100
42193,94
29512,96
77725,100
75782,96
52834,100
1739,78
33724,88
79233,82
42380,77
42866,100
33934,69
64952,92
43109,89
46752,89
13256,97
61956,100
28330,95
9883,91
16608,67
68159,72
20194,73
78022,100
35549,100
25118,98
38363,95
10139,82
22618,97
64569,62
22703,100
52384,70
8611,95
45174,90
63843,67
71969,100
64697,100
45747,62
56039,98
70631,100
70315,99
14037,76
15799,90
42018,95
31783,92
62063,50
64841,100
26586,82
23651,100
79759,81
54641,100
30651,97
35900,89
73587,95
17238,95
23856,100
79560,93
60342,84
75881,90
42794,95
9752,99
57592,93
8392,84
4445,86
32704,93
44930,83
61188,98
32615,100
28231,83
19314,100
46530,78
13550,84
33650,78
63420,94
26474,91
11148,76
48489,68
62081,90
56398,88
74352,100
43816,79
27081,76
11402,91
14152,100
58977,88
16534,93
11677,100
7038,98
48858,57
56152,97
19442,92
1017,100
38585,97
604,100
53156,100
29094,84
66842,76
15954,100
69723,100
16989,81
69101,99
35070,76
11069,92
49899,61
14589,82
60965,100
55936,100
14260,100
54422,99
54933,100
70313,100
66437,99
11153,100
74240,96
6319,67
45281,95
7443,96
59554,83
19837,78
18293,100
35415,88
4126,77
73180,98
6504,100
6307,98
68734,100
32828,92
66907,100
36355,100
62881,65
22097,79
44280,87
57564,79
25604,46
1913,83
26036,78
28858,72
35930,88
43965,100
77781,90
71929,87
4192,90
1461,67
75652,100
50229,89
19709,75
54283,95
58666,85
60826,100
74656,87
21907,96
73003,98
9118,83
19290,94
31391,96
58791,95
686,96
18089,82
25384,100
74684,82
4309,79
39255,79
43519,69
79601,100
5694,64
78255,100
42095,93
13839,91
48466,94
27386,94
35513,99
14922,94
61060,94
66306,93
25464,74
6221,97
35823,100
22178,100
37045,89
8761,100
79340,97
42463,52
57064,68
52692,100
79152,94
4642,70
74055,86
14323,83
73303,100
15228,85
20544,100
46680,79
3808,72
64747,88
35832,99
40093,98
24973,83
53748,84
63927,73
61512,100
26011,90
20088,100
73441,78
35402,80
31514,96
20164,74
32367,92
6854,81
64470,75
15861,100
39868,81
8948,100
37774,90
690,100
78836,98
47396,100
29648,92
16320,100
79927,77
18950,92
30277,98
52215,100
19446,99
14184,98
20985,93
69914,99
61260,100
69318,97
36623,95
51307,82
70174,87
17837,64
79056,100
4732,100
42799,94
2103,100
39015,77
5403,98
39556,83
15004,97
24202,68
46775,74
6794,98
38706,100
54677,78
48290,100
49618,100
64362,76
27205,94
615,100
32240,67
48289,91
13808,98
67923,100
27296,100
51041,94
19,92
58619,94
63824,83
65132,100
79517,88
75148,75
77320,100
74957,100
56539,81
13136,80
73819,100
34978,97
5937,84
61333,98
19355,93
837,100
65249,100
3120,77
67353,100
67433,94
19667,99
44434,85
6857,99
26783,59
53655,98
62953,75
64974,100
4105,86
25457,69
75307,100
71288,90
44218,70
16985,100
73051,100
30539,100
63553,85
77689,96
36751,100
51535,98
1360,67
46716,97
27023,100
63947,84
5963,96
24059,95
38203,100
53308,61
18103,97
50653,100
33600,83
52698,95
9227,86
3419,75
10246,100
51650,87
2961,97
20957,89
55432,100
50599,84
60010,100
31140,100
7774,100
14947,72
11777,64
58403,100
49515,68
50990,79
54280,79
21473,100
23535,91
76187,100
33779,92
8675,99
29165,91
21780,86
67076,72
75319,87
32466,93
76603,100
63168,88
3188,69
7867,95
79479,69
26935,95
16246,79
26108,99
47319,100
46725,67
36498,100
58118,91
29513,92
2821,79
19102,63
47758,74
25041,65
2652,97
26175,97
76255,76
64846,89
65332,100
11087,92
79466,87
62570,78
63174,100
39468,94
57389,68
56747,60
16123,100
48311,93
45446,97
46522,88
65906,80
59195,95
63411,97
62746,91
42897,93
31928,88
65066,100
33573,90
11028,100
59731,95
1742,58
75309,95
22813,58
23256,79
67342,100
10473,99
54481,100
9334,91
2136,78
49460,99
79057,87
3442,94
31276,94
14270,100
63470,77
15143,98
16893,100
76985,64
29040,74
34954,100
35443,70
76415,100
19644,95
65351,96
67210,97
15323,99
29115,89
49742,73
75067,92
31074,100
45589,96
40613,73
69917,100
74805,100
23853,81
42175,85
9329,75
53456,68
75460,97
73553,96
67667,98
6407,100
77615,77
61990,99
78277,99
63758,82
48762,96
51608,100
31139,69
61114,100
50223,80
77897,89
33636,96
41378,88
50795,70
59434,94
52974,76
63684,82
52962,94
64456,88
64760,94
51039,70
12679,97
29550,89
57465,100
33371,91
32191,86
1875,100
20991,74
5474,88
17722,78
3455,100
19962,76
49717,100
42951,83
23581,71
56160,100
57443,100
75329,100
74123,98
44704,99
17123,90
60140,100
44432,88
40669,98
1057,70
73996,96
5481,70
45983,100
60646,100
36275,99
65093,98
30182,77
41714,91
55828,78
75902,86
14080,80
8220,99
51284,100
26724,84
55920,80
79356,85
27953,95
53662,94
51153,90
26230,88
20029,79
50424,99
73960,95
58033,67
18421,100
34106,92
19031,100
74315,96
50645,62
12518,85
61523,99
22712,100
26528,94
67511,97
61593,98
12817,100
61093,81
60627,82
58498,97
46687,73
64949,93
45362,100
53241,83
13071,94
72953,100
27142,69
46587,83
51619,93
49199,98
4106,92
20447,62
62940,95
35296,89
54101,100
64971,100
43268,61
74151,100
5338,87
32316,100
26986,66
58443,96
78254,100
72492,99
569,100
41083,62
21409,77
49113,100
41059,100
60239,100
62364,70
3616,100
60126,100
26831,99
11266,98
10362,100
50154,98
30795,73
10127,87
30454,67
62447,99
28300,62
15168,100
10825,69
79249,100
3058,82
21125,97
13114,99
34826,75
79981,78
36737,100
44990,95
36432,100
41175,97
526,76
65971,100
67858,100
35772,100
22108,90
63820,75
231,100
70268,100
24276,94
45435,74
26071,81
56983,100
9710,96
30306,96
72877,73
37977,100
62449,100
31160,100
45400,58
63326,99
72959,96
67012,91
66478,97
45515,60
74910,75
73306,97
11456,100
32803,94
46921,100
79450,74
72700,100
20503,70
12888,94
45860,79
15628,82
2830,91
25313,92
4522,91
18375,100
32916,100
52928,100
30132,80
45727,100
31496,100
3878,100
9020,97
60559,81
60572,63
20204,87
73173,91
55137,100
74041,90
19279,100
2,98
1101,100
13397,100
68069,92
14045,77
33088,99
10863,100
11619,100
42519,86
50705,99
77226,93
36352,100
48627,76
16498,97
22954,100
42128,98
10869,70
52291,65
36668,100
62731,89
58532,96
18913,90
